age,height_cm,overall,potential,player_positions,release_clause_eur,club_name,club_position,league_name,league_level,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,value_eur,log_value,log_rc
-0.6751021050894326,186,90,94,0,370800000.0,485,0,15,1.0,1,4,4,5,4,174500000,18.977435305337416,19.731173394352847
0.16287090121098427,182,89,90,3,256100000.0,485,17,15,1.0,1,4,3,4,9,120500000,18.60716031919374,19.361078555074478
1.000843907511401,177,89,89,2,141900000.0,216,17,5,1.0,1,4,3,4,4,86000000,18.26985786584569,18.77063314917749
0.16287090121098427,181,89,90,8,213700000.0,442,14,22,1.0,1,4,4,4,1,111000000,18.525040768285617,19.180083724968835
0.5818574043611927,175,87,87,3,131199999.0,330,16,35,1.0,1,4,3,4,3,79500000,18.191267592203175,18.692233434474264
1.2103371590865053,178,86,86,2,78400000.0,330,2,35,1.0,1,5,4,4,4,47500000,17.6762402900575,18.177334498075737
0.3723641527860885,175,85,85,5,85800000.0,330,6,35,1.0,0,4,3,3,4,52000000,17.76675429577647,18.2675295761132
0.16287090121098427,176,87,88,3,179000000.0,371,9,27,1.0,1,3,3,4,4,93000000,18.34811006187022,19.00289636939162
0.7913506559362969,190,90,90,2,188700000.0,378,2,27,1.0,1,4,3,5,5,102000000,18.440483381052466,19.055669015638195
1.838816913811818,176,85,85,11,54600000.0,64,23,15,1.0,0,3,4,4,9,26000000,17.073607134447293,17.81554445903015
0.3723641527860885,184,84,85,5,74500000.0,35,6,33,1.0,0,3,4,3,9,44500000,17.61099976960838,18.126309696772605
1.000843907511401,179,87,87,0,146300000.0,379,8,27,1.0,1,4,4,4,9,77000000,18.15931599280497,18.80116987282562
-0.04662235036411992,170,87,90,11,232700000.0,64,11,15,1.0,1,4,4,4,3,107000000,18.488339401771974,19.2652606325699
0.16287090121098427,180,86,87,8,155100000.0,485,14,15,1.0,1,4,3,4,9,73000000,18.105970012811294,18.85958063459422
-0.04662235036411992,188,84,88,0,127200000.0,60,0,15,1.0,1,4,4,3,2,58500000,17.8845373292961,18.66127121673193
1.000843907511401,191,83,83,0,59500000.0,9,23,35,1.0,0,3,3,3,2,35000000,17.370858648025116,17.90148688732258
1.2103371590865053,180,84,84,3,43125000.0,331,23,24,1.0,1,3,4,3,4,34500000,17.356469910987094,17.5796134565042
-0.04662235036411992,181,86,88,2,151100000.0,414,2,27,1.0,1,4,3,3,9,76500000,18.15280131186866,18.8334524338611
1.000843907511401,184,84,84,8,76700000.0,64,14,15,1.0,1,4,3,3,1,36500000,17.41282284594998,18.155412279375295
1.000843907511401,189,82,82,3,47900000.0,216,9,5,1.0,1,4,3,3,9,29000000,17.182806422433504,17.68462608325797
-0.04662235036411992,172,89,91,3,247400000.0,442,3,22,1.0,1,3,4,4,1,128500000,18.67143947008165,19.326517021964698
1.6293236622367138,175,91,91,9,151700000.0,371,19,27,1.0,0,3,4,5,9,82000000,18.22222981742365,18.83741545091072
1.2103371590865053,178,80,80,2,25500000.0,93,23,5,1.0,1,4,3,3,4,15000000,16.52356082573315,17.05418904934434
0.16287090121098427,185,87,88,2,160700000.0,56,8,27,1.0,1,3,3,4,5,83500000,18.24035720179713,18.895049836930518
1.2103371590865053,182,84,84,8,48800000.0,35,14,33,1.0,1,4,4,3,9,30500000,17.233237274364523,17.70324089131518
0.5818574043611927,181,87,87,3,163000000.0,214,17,15,1.0,1,3,4,4,9,79500000,18.191267592203175,18.909260764906005
0.16287090121098427,185,86,87,3,153000000.0,378,8,27,1.0,1,4,4,4,2,79500000,18.191267592203175,18.845948485892656
-0.2561156019392241,186,83,86,0,95300000.0,371,23,27,1.0,1,4,4,3,5,49500000,17.71748324774094,18.37254037911761
0.5818574043611927,176,89,89,6,213200000.0,214,10,15,1.0,0,4,4,4,1,104000000,18.459901466721032,19.177741254946394
-0.46560885351432835,178,88,90,10,228100000.0,56,21,27,1.0,0,4,3,4,1,118500000,18.590423526978277,19.24529469163866
1.000843907511401,192,84,84,3,64800000.0,35,16,33,1.0,1,5,4,3,5,40500000,17.516812556768127,17.9868161767546
-0.6751021050894326,174,89,93,3,317700000.0,214,9,15,1.0,1,4,4,4,1,149500000,18.82280695748398,19.576618102387368
0.3723641527860885,182,86,87,3,153100000.0,414,16,27,1.0,1,2,3,4,1,77500000,18.1657885072268,18.846601867159592
0.5818574043611927,178,90,90,11,226600000.0,442,22,22,1.0,0,5,5,5,9,122500000,18.623621596112322,19.238696910971242
-1.0940886082396408,174,85,90,3,153000000.0,442,16,22,1.0,1,4,3,3,4,79500000,18.191267592203175,18.845948485892656
-0.46560885351432835,190,85,88,2,128000000.0,371,17,27,1.0,1,4,4,3,2,66500000,18.012712520663676,18.667540829696392
0.3723641527860885,174,88,88,11,163400000.0,330,11,35,1.0,1,4,4,5,9,99000000,18.410630418199872,18.91171174651013
2.2578034169620262,177,83,83,3,19000000.0,330,8,35,1.0,1,5,4,3,4,11500000,16.257857680289998,16.759949589762293
1.838816913811818,181,87,87,3,62100000.0,408,8,35,1.0,1,5,4,4,9,36500000,17.41282284594998,17.944256563006768
0.3723641527860885,183,81,81,0,46800000.0,338,23,35,1.0,0,2,3,3,4,27500000,17.129696599000436,17.661393782255395
-0.2561156019392241,183,87,90,7,209800000.0,442,12,22,1.0,1,5,5,3,4,109000000,18.50685844936773,19.161665258692913
0.7913506559362969,171,84,84,6,70600000.0,79,10,5,1.0,0,2,4,3,1,41500000,17.541204009297314,18.072540716627778
-0.04662235036411992,180,81,84,8,62200000.0,139,14,27,1.0,1,4,3,3,7,31500000,17.265498135541893,17.945865573786577
